Provider_Name,Provider_Cat,Low_Cost,Med_Cost,High_Cost,VHigh_Cost,State,Child_Pov_LVL,High_School_Grad_Perc,Med_Age,Med_Fam_Income,Med_HHold_Income,Perc_NonEnglish,Perc_Veterans,Pov_LVL,Population_Total,Perc_Pop_Under18,Perc_Pop_18_24,Perc_Pop_25_44,Perc_Pop_45_64,Perc_Pop_Over65,Male_per_100_Females_All,Male_per_100_Females_Over18,Housing_Units,Area_Total,Water_Area,Land_Area,Pop_Density,Housing_Density,Perc_White,Perc_Black,Perc_Native,Perc_Asian,Perc_Islander,Perc_Other,Perc_MultiRace,Perc_Latin,Perc_WhiteAlone
ALLIANCEHEALTH DEACONESS,Low,1,0,0,0,Oklahoma,0,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,1,0
ALLIANCEHEALTH DURANT,Low,1,0,0,0,Oklahoma,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ALLIANCEHEALTH MIDWEST,Low,1,0,0,0,Oklahoma,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1
ALLIANCEHEALTH PONCA CITY,Low,1,0,0,0,Oklahoma,0,1,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ALLIANCEHEALTH SEMINOLE,Med,0,1,0,0,Oklahoma,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
ALLIANCEHEALTH WOODWARD,Med,0,1,0,0,Oklahoma,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1
ALPENA REGIONAL MEDICAL CENTER,Med,0,1,0,0,Michigan,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ALTA BATES SUMMIT MEDICAL CENTER,High,0,0,1,0,California,1,0,0,1,1,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0
ALTA BATES SUMMIT MEDICAL CENTER - ALTA BATES CAMP,Very High,0,0,0,1,California,0,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0
ALTA VIEW HOSPITAL,Low,1,0,0,0,Utah,0,1,0,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1
ALTA VISTA REGIONAL HOSPITAL,Med,0,1,0,0,New Mexico,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0
ALTON MEMORIAL HOSPITAL,Low,1,0,0,0,Illinois,1,1,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
ALTRU HOSPITAL,Med,0,1,0,0,North Dakota,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
ALVARADO HOSPITAL MEDICAL CENTER,Med,0,1,0,0,California,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0
AMERICAN FORK HOSPITAL,Med,0,1,0,0,Utah,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
ANAHEIM GLOBAL MEDICAL CENTER,Very High,0,0,0,1,California,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0
ANDALUSIA REGIONAL HOSPITAL,Low,1,0,0,0,Alabama,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ANDERSON HOSPITAL,Low,1,0,0,0,Illinois,0,1,1,1,1,0,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ANDERSON REGIONAL MEDICAL CTR,Low,1,0,0,0,Mississippi,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ANIMAS SURGICAL HOSPITAL, LLC",Low,1,0,0,0,Colorado,0,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
ANMED HEALTH,Med,0,1,0,0,South Carolina,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ANNA JAQUES HOSPITAL,Med,0,1,0,0,Massachusetts,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ANNE ARUNDEL MEDICAL CENTER,Med,0,1,0,0,Maryland,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
ANNE BATES LEACH EYE HOSPITAL,Med,0,1,0,0,Florida,1,0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0
ANSON GENERAL HOSPITAL,High,0,0,1,0,Texas,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
ANTELOPE VALLEY HOSPITAL,High,0,0,1,0,California,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,1,1,0
APPLING HOSPITAL,Med,0,1,0,0,Georgia,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
ARIA HEALTH,Med,0,1,0,0,Pennsylvania,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,0,0,0
ARISE AUSTIN MEDICAL CENTER,Low,1,0,0,0,Texas,0,1,0,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0
ARIZONA ORTHOPEDIC AND SURGICAL SPECIALITY HOSP,Low,1,0,0,0,Arizona,0,1,0,1,1,1,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,1,0
ARIZONA SPINE AND JOINT HOSPITAL,Low,1,0,0,0,Arizona,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
"ARKANSAS HEART HOSPITAL, LLC",Low,1,0,0,0,Arkansas,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ARKANSAS METHODIST MEDICAL CENTER,Low,1,0,0,0,Arkansas,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ARKANSAS VALLEY REGIONAL MEDICAL CENTER,Med,0,1,0,0,Colorado,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
ARNOT OGDEN MEDICAL CENTER,Med,0,1,0,0,New York,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
AROOSTOOK MEDICAL CENTER,Med,0,1,0,0,Maine,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
ARROWHEAD REGIONAL MEDICAL CENTER,Very High,0,0,0,1,California,1,0,0,0,0,1,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0
ARTESIA GENERAL HOSPITAL,Med,0,1,0,0,New Mexico,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0
ASANTE ASHLAND COMMUNITY HOSPITAL,Med,0,1,0,0,Oregon,0,1,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
ASANTE ROGUE REGIONAL MEDICAL CENTER,Med,0,1,0,0,Oregon,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,1
ASANTE THREE RIVERS MEDICAL CENTER,Med,0,1,0,0,Oregon,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1
ASHLEY REGIONAL MEDICAL CENTER,High,0,0,1,0,Utah,0,1,0,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
ASHTABULA COUNTY MEDICAL CENTER,Med,0,1,0,0,Ohio,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
ASPIRUS RIVERVIEW HOSPITAL & CLINICS INC,Low,1,0,0,0,Wisconsin,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
ASPIRUS WAUSAU HOSPITAL,Low,1,0,0,0,Wisconsin,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
ATHENS-LIMESTONE HOSPITAL,Low,1,0,0,0,Alabama,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
ATLANTIC GENERAL HOSPITAL,Med,0,1,0,0,Maryland,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
ATLANTICARE REGIONAL MEDICAL CENTER - CITY CAMPUS,Med,0,1,0,0,New Jersey,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,0
ATMORE COMMUNITY HOSPITAL,Low,1,0,0,0,Alabama,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
ATRIUM MEDICAL CENTER,Low,1,0,0,0,Ohio,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AUBURN COMMUNITY HOSPITAL,Med,0,1,0,0,New York,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1
AUGUSTA HEALTH,Med,0,1,0,0,Virginia,0,1,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AULTMAN HOSPITAL,Med,0,1,0,0,Ohio,1,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
AURELIA OSBORN FOX MEMORIAL HOSPITAL,Low,1,0,0,0,New York,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
AURORA BAYCARE MEDICAL CTR,Med,0,1,0,0,Wisconsin,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,1
AURORA LAKELAND MEDICAL CENTER,Low,1,0,0,0,Wisconsin,0,1,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA MEDICAL CENTER,Med,0,1,0,0,Wisconsin,0,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA MEDICAL CTR KENOSHA,Med,0,1,0,0,Wisconsin,1,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1
AURORA MEDICAL CTR MANITOWOC COUNTY,Med,0,1,0,0,Wisconsin,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA MEDICAL CTR OSHKOSH,Low,1,0,0,0,Wisconsin,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA MEDICAL CTR WASHINGTON COUNTY,Low,1,0,0,0,Wisconsin,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA MEMORIAL HOSPITAL BURLINGTON,Low,1,0,0,0,Wisconsin,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
AURORA SHEBOYGAN MEMORIAL MEDICAL CTR,Med,0,1,0,0,Wisconsin,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1
AURORA WEST ALLIS MEDICAL CENTER,Med,0,1,0,0,Wisconsin,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1
AVENTURA HOSPITAL AND MEDICAL CENTER,Med,0,1,0,0,Florida,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0
AVERA HEART HOSPITAL OF SOUTH DAKOTA,Med,0,1,0,0,South Dakota,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AVERA MCKENNAN HOSPITAL & UNIVERSITY HEALTH CENTER,Med,0,1,0,0,South Dakota,0,1,0,1,1,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AVERA QUEEN OF PEACE,Med,0,1,0,0,South Dakota,0,1,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AVERA SACRED HEART HOSPITAL,Med,0,1,0,0,South Dakota,0,1,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AVERA ST LUKES,Low,1,0,0,0,South Dakota,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
AVERA ST MARY'S HOSPITAL,Med,0,1,0,0,South Dakota,0,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
AVOYELLES HOSPITAL,Low,1,0,0,0,Louisiana,1,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0
"BAILEY MEDICAL CENTER, LLC",Low,1,0,0,0,Oklahoma,0,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1
BAKERSFIELD HEART HOSPITAL,Med,0,1,0,0,California,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
BAKERSFIELD MEMORIAL HOSPITAL,High,0,0,1,0,California,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1,0
BANNER-UNIVERSITY MEDICAL CENTER SOUTH CAMPUS,High,0,0,1,0,Arizona,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,High,0,0,1,0,Arizona,1,0,0,0,0,1,1,1,1,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX,Med,0,1,0,0,Arizona,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,1,1,1,1,0
BANNER BAYWOOD MEDICAL CENTER,Low,1,0,0,0,Arizona,0,1,0,0,1,1,1,0,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,1,1
BANNER BOSWELL MEDICAL CENTER,Low,1,0,0,0,Arizona,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
BANNER CHURCHILL COMMUNITY HOSPITAL,Med,0,1,0,0,Nevada,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,1
